buyer_country,african_country,project_type,project_name,proponent,issued_credits,retired_credits,project_id,project_url
United Kingdom,Zambia,REDD+,Zambruss REDD+ Project,Zambruss Enterprises Ltd,0.0,0.0,VCS5271,https://registry.verra.org/app/projectDetail/VCS/5271
Multiple (mixed),Nigeria,Wetland,Carbon Mosaic Conservation and Restoration of Mangroves in Delta State,Multiple Proponents,0.0,0.0,VCS5224,https://registry.verra.org/app/projectDetail/VCS/5224
European Union,Djibouti,Wetland,Djibouti Mangrove Restoration Program,Sovereign Carbon Agency,0.0,0.0,VCS5192,https://registry.verra.org/app/projectDetail/VCS/5192
Multiple (mixed),Ethiopia,Afforestation + Reforestation,CATALYZING COMMUNITY RESILIENCE  THROUGH CARBON FINANCE IN  ETHIOPIAN AFROMONTANE FORESTS,Multiple Proponents,0.0,0.0,VCS5191,https://registry.verra.org/app/projectDetail/VCS/5191
United Kingdom,Zambia,REDD+,Lavushimanda Community Conservation Project,WeForest Zambia Ltd,0.0,0.0,VCS5177,https://registry.verra.org/app/projectDetail/VCS/5177
United Kingdom,Ghana,Afforestation + Reforestation,Project Akwaaba | Forest Ecosystem Restoration in Ghana,Rainforest Builder Ltd.,0.0,0.0,VCS5172,https://registry.verra.org/app/projectDetail/VCS/5172
Local/Unknown,Madagascar,Afforestation + Reforestation,Fagnako: Agroforestry project in Madagascar,Canopy Energies,0.0,0.0,VCS5160,https://registry.verra.org/app/projectDetail/VCS/5160
Multiple (mixed),Zambia,REDD+,Kafue Zambezi Community Forest Project,Multiple Proponents,0.0,0.0,VCS5153,https://registry.verra.org/app/projectDetail/VCS/5153
Local/Unknown,Senegal,Afforestation + Reforestation,Tamba 20000,Hommes et Terre Global,0.0,0.0,VCS5148,https://registry.verra.org/app/projectDetail/VCS/5148
Local/Unknown,Cote d'Ivoire,Afforestation + Reforestation,N’zi–Mafa Forest Restoration Project,hummingbirds,0.0,0.0,VCS5145,https://registry.verra.org/app/projectDetail/VCS/5145
United Kingdom,Kenya,Afforestation + Reforestation,KUZA MITI AGROFORESTRY CARBON PROJECT IN KENYA,One Carbon World Ltd.,0.0,0.0,VCS5142,https://registry.verra.org/app/projectDetail/VCS/5142
United Kingdom,DR Congo,Afforestation + Reforestation,Grand Katanga Reforestation Project,Carbon Ventures Africa Ltd.,0.0,0.0,VCS5137,https://registry.verra.org/app/projectDetail/VCS/5137
Local/Unknown,Namibia,Grassland Management,"Regeneration of the Kunene Highlands Elephant Landscape, Namibia",CC Nature Limited,0.0,0.0,VCS5128,https://registry.verra.org/app/projectDetail/VCS/5128
Local/Unknown,Madagascar,Afforestation + Reforestation,TERAKA MADAGASCAR: SMALLHOLDER TREE PLANTING PROGRAM,ITERAKA,0.0,0.0,VCS5107,https://registry.verra.org/app/projectDetail/VCS/5107
Local/Unknown,Uganda,Afforestation + Reforestation,Mount Kei Reforestation Project,Equatoria Forestry Company,0.0,0.0,VCS5090,https://registry.verra.org/app/projectDetail/VCS/5090
Local/Unknown,Burkina Faso,Afforestation + Reforestation,Tond Tenga,Tree Aid,0.0,0.0,VCS5085,https://registry.verra.org/app/projectDetail/VCS/5085
Local/Unknown,Ethiopia,Afforestation + Reforestation,ETHIOPIA AGROFORESTRY PROJECT ON SMALL-SCALE COFFEE PARCELS,The PURE PROJECT SAS,0.0,0.0,VCS5054,https://registry.verra.org/app/projectDetail/VCS/5054
European Union,Rwanda,Sustainable Agriculture,East Africa Soil and Biodiversity improvement project,eAgronom Africa OÜ,0.0,0.0,VCS5042,https://registry.verra.org/app/projectDetail/VCS/5042
Multiple (mixed),Nigeria,REDD+,Nigeria Community-based Forestry Project,Multiple Proponents,0.0,0.0,VCS5038,https://registry.verra.org/app/projectDetail/VCS/5038
United Kingdom,South Africa,Afforestation + Reforestation,SPEKBOOM RESTORATION PROJECT BEKA EMVA IGWANISHE - ISIXHOSA,Imperative South Africa Projects Pty Ltd,0.0,0.0,VCS5027,https://registry.verra.org/app/projectDetail/VCS/5027
Multiple (mixed),Kenya,Grassland Management,Entooma Sidai: A Maasai Mara Rangeland Restoration and Conservation Project,Multiple Proponents,0.0,0.0,VCS4994,https://registry.verra.org/app/projectDetail/VCS/4994
Local/Unknown,Zambia,REDD+,COMACO South Landscape Management Project,Community Markets for Conservation (COMACO),0.0,0.0,VCS4987,https://registry.verra.org/app/projectDetail/VCS/4987
Local/Unknown,DR Congo,REDD+,Nkuba REDD+ Project,Dian Fossey Gorilla Fund,0.0,0.0,VCS4968,https://registry.verra.org/app/projectDetail/VCS/4968
Local/Unknown,Mozambique,REDD+,Yambone REDD+ Project,Carbonsink Moçambique Lda (CSG Mozambique),0.0,0.0,VCS4966,https://registry.verra.org/app/projectDetail/VCS/4966
United Kingdom,Ghana,Afforestation + Reforestation,Ghana Wli Agorviefe Afforestation Project,Infused SeedBall Ltd.,0.0,0.0,VCS4946,https://registry.verra.org/app/projectDetail/VCS/4946
Multiple (mixed),Morocco,Afforestation + Reforestation,TAFILALET AGROFORESTRY SYSTEM  MOROCCO,Multiple Proponents,0.0,0.0,VCS4935,https://registry.verra.org/app/projectDetail/VCS/4935
Local/Unknown,Tanzania,Grassland Management,Longido and Monduli Rangelands Carbon Project,Soils for the Future Tanzania,0.0,0.0,VCS4924,https://registry.verra.org/app/projectDetail/VCS/4924
Local/Unknown,Zambia,Grassland Management,Mafisa Livestock Grazing Carbon Project,ZayoHub Zambia,0.0,0.0,VCS4915,https://registry.verra.org/app/projectDetail/VCS/4915
Local/Unknown,Cameroon,Afforestation + Reforestation,Project to Restore Degraded Lands by Planting Forest and Fruit Trees in Northern Cameroon,S2 Services,0.0,0.0,VCS4913,https://registry.verra.org/app/projectDetail/VCS/4913
India,Kenya,Afforestation + Reforestation,OYU - Reforesting Kenya for a better tomorrow,OYU Green Private Limited,0.0,0.0,VCS4898,https://registry.verra.org/app/projectDetail/VCS/4898
Multiple (mixed),Uganda,Afforestation + Reforestation,Sustainable Wood by NFB,Multiple Proponents,0.0,0.0,VCS4899,https://registry.verra.org/app/projectDetail/VCS/4899
Multiple (mixed),Uganda,Afforestation + Reforestation,OYU - Tenera Plantations by BIDCO,Multiple Proponents,0.0,0.0,VCS4900,https://registry.verra.org/app/projectDetail/VCS/4900
European Union,Uganda,Afforestation + Reforestation,NATURAL FOREST REGENERATION FOR ENHANCED CARBON STOCKS IN THE ALBERTINE RIFT (FRECAR),World Wide Fund for Nature Denmark / Verdensnaturfonden,0.0,0.0,VCS4889,https://registry.verra.org/app/projectDetail/VCS/4889
United States,Ghana,Wetland,Regenerative Development of Anlo Wetlands Project,Terraformation Inc.,0.0,0.0,VCS4890,https://registry.verra.org/app/projectDetail/VCS/4890
Multiple (mixed),Malawi,Afforestation + Reforestation,Smallholder Reforestation in Malawi,Multiple Proponents,0.0,0.0,VCS4891,https://registry.verra.org/app/projectDetail/VCS/4891
Multiple (mixed),Uganda,Afforestation + Reforestation,Uganda Native Reforestation and Agroforestry Project,Multiple Proponents,0.0,0.0,VCS4882,https://registry.verra.org/app/projectDetail/VCS/4882
Multiple (mixed),Cameroon,Afforestation + Reforestation,Agroforestry Project of Cameroon,Multiple Proponents,0.0,0.0,VCS4883,https://registry.verra.org/app/projectDetail/VCS/4883
Local/Unknown,Tanzania,Afforestation + Reforestation,"TIST Program in Tanzania, VCS-CCB-011",Clean Air Action Corporation,0.0,0.0,VCS4881,https://registry.verra.org/app/projectDetail/VCS/4881
Multiple (mixed),Guinea,Afforestation + Reforestation,Yiri,Multiple Proponents,0.0,0.0,VCS4870,https://registry.verra.org/app/projectDetail/VCS/4870
Local/Unknown,DR Congo,Afforestation + Reforestation,The Nkuba REDD+ Project,Dian Fossey Gorilla Fund,0.0,0.0,VCS4858,https://registry.verra.org/app/projectDetail/VCS/4858
Local/Unknown,Madagascar,Wetland,ALA HONKO BLUE CARBON MADAGASCAR,UNIMA SA.,0.0,0.0,VCS4856,https://registry.verra.org/app/projectDetail/VCS/4856
Local/Unknown,Cameroon,Wetland,Cameroon Mangrove Ecosystem Restoration & Resilience (CAMERR),Planete Urgence,0.0,0.0,VCS4845,https://registry.verra.org/app/projectDetail/VCS/4845
United Kingdom,Tanzania,REDD+,Ruvuma Wilderness Project,Carbon Tanzania,0.0,0.0,VCS4838,https://registry.verra.org/app/projectDetail/VCS/4838
Local/Unknown,Burkina Faso,Sustainable Agriculture,BURKINA FASO AGRICULTURAL CARBON PROJECT (BUFACAP),SECRETARIAT PERMANENT REDD+,0.0,0.0,VCS4807,https://registry.verra.org/app/projectDetail/VCS/4807
Local/Unknown,DR Congo,Improved Forest Management,"BAULU PROJECT, DEMOCRATIC REPUBLIC OF CONGO",FRM COMMITMENT,0.0,0.0,VCS4798,https://registry.verra.org/app/projectDetail/VCS/4798
United States,Malawi,Sustainable Agriculture,Regenerative Agriculture and Forestry Technologies (RAFT) 1,C-Quest Capital SG Africa Holdings Private Limited,0.0,0.0,VCS4789,https://registry.verra.org/app/projectDetail/VCS/4789
Local/Unknown,Tanzania,Grassland Management,ENJIPAI COMMUNITY RANGELAND CARBON PROJECT,Enjipai Carbon Limited,0.0,0.0,VCS4742,https://registry.verra.org/app/projectDetail/VCS/4742
United Kingdom,Kenya,Grassland Management,Kajiado Rangelands Carbon Project,Soils for the Future Africa Ltd,0.0,0.0,VCS4714,https://registry.verra.org/app/projectDetail/VCS/4714
United States,DR Congo,Afforestation + Reforestation,Permaculture initiative through community participation,ALLCOT A.G.,0.0,0.0,VCS4712,https://registry.verra.org/app/projectDetail/VCS/4712
United Kingdom,South Africa,Afforestation + Reforestation,Hive Ecosystems project,HIVE ECOSYSTEMS (PTY) LTD,0.0,0.0,VCS4698,https://registry.verra.org/app/projectDetail/VCS/4698
Local/Unknown,South Africa,Afforestation + Reforestation,Baviaanskloof Carbon Project,Baviaanskloof Bewarea NPC,0.0,0.0,VCS4699,https://registry.verra.org/app/projectDetail/VCS/4699
United States,Botswana,Grassland Management,"SOIL CARBON MANAGEMENT FOR IMPROVED GRASSLAND: LIMPOPO-LIPADI, BOTSWANA",Carbon Credit Capital LLC.,0.0,0.0,VCS4670,https://registry.verra.org/app/projectDetail/VCS/4670
Local/Unknown,Kenya,Grassland Management,One Mara Carbon Project,OMCP MARA CARBON LIMITED,0.0,0.0,VCS4659,https://registry.verra.org/app/projectDetail/VCS/4659
Local/Unknown,Sierra Leone,Wetland,Scarcies Mangrove Rewilding Project,Forest and Mangrove Protection Limited,0.0,0.0,VCS4644,https://registry.verra.org/app/projectDetail/VCS/4644
Local/Unknown,Kenya,Afforestation + Reforestation,"TIST Program in Kenya, VCS-011",Clean Air Action Corporation,0.0,0.0,VCS4646,https://registry.verra.org/app/projectDetail/VCS/4646
Multiple (mixed),Comoros,REDD+,REDD+ Mwali Project,Multiple Proponents,0.0,0.0,VCS4623,https://registry.verra.org/app/projectDetail/VCS/4623
Local/Unknown,DR Congo,Afforestation + Reforestation,"Kwango River Project, Democratic Republic of Congo",FRM Commitment,0.0,0.0,VCS4617,https://registry.verra.org/app/projectDetail/VCS/4617
United States,Senegal,Wetland,ALLCOT BLUE CARBON MANGROVE PROJECT IN SENEGAL (ABC  Mangrove Senegal),Allcot Limited,0.0,0.0,VCS4563,https://registry.verra.org/app/projectDetail/VCS/4563
Local/Unknown,Gabon,Afforestation + Reforestation,Leconi Agroforestry Project in Haut-Ogooue (LAPHO),AERA Group,0.0,0.0,VCS4543,https://registry.verra.org/app/projectDetail/VCS/4543
Multiple (mixed),Sierra Leone,Wetland,Community-Based Mangrove Conservation and Restoration in Sierra Leone,Multiple Proponents,0.0,0.0,VCS4539,https://registry.verra.org/app/projectDetail/VCS/4539
France,Rwanda,Afforestation + Reforestation,Agroforestry For Livelihoods,Livelihoods Fund SICAV SIF,0.0,0.0,VCS4488,https://registry.verra.org/app/projectDetail/VCS/4488
Local/Unknown,Kenya,Afforestation + Reforestation,Restore Africa: Restoring trees and livelihoods in Kenya,Global Evergreening Alliance,0.0,0.0,VCS4481,https://registry.verra.org/app/projectDetail/VCS/4481
Local/Unknown,Cote d'Ivoire,Afforestation + Reforestation,Karidja forest restoration project,aDryada,0.0,0.0,VCS4473,https://registry.verra.org/app/projectDetail/VCS/4473
United States,Kenya,Sustainable Agriculture,Lake Victoria Watershed Agroforestry Carbon Project,Trees for the Future Inc.,0.0,0.0,VCS4408,https://registry.verra.org/app/projectDetail/VCS/4408
United Kingdom,Nigeria,Afforestation + Reforestation,Jaji ARR Project,Pioneer Sustainable Agriculture Ltd.,0.0,0.0,VCS4384,https://registry.verra.org/app/projectDetail/VCS/4384
Multiple (mixed),Uganda,Sustainable Agriculture,Sustainable Agricultural Improvement Practices in Uganda,Multiple Proponents,0.0,0.0,VCS4371,https://registry.verra.org/app/projectDetail/VCS/4371
United Kingdom,DR Congo,REDD+,DR Congo Mangrove Blue Carbon Project,ClimeTrek Ltd,0.0,0.0,VCS4372,https://registry.verra.org/app/projectDetail/VCS/4372
Multiple (mixed),Kenya,Sustainable Agriculture,Makueni Agroforestry Carbon Project,Multiple Proponents,0.0,0.0,VCS4325,https://registry.verra.org/app/projectDetail/VCS/4325
Multiple (mixed),Cote d'Ivoire,REDD+,Conservation and Restoration of Classified Forests in Côte d’Ivoire,Multiple Proponents,0.0,0.0,VCS4329,https://registry.verra.org/app/projectDetail/VCS/4329
United Kingdom,South Africa,Afforestation + Reforestation,CSA Carbon,C-SA Properties (Pty) Ltd,0.0,0.0,VCS4319,https://registry.verra.org/app/projectDetail/VCS/4319
Local/Unknown,Zambia,REDD+,COMACO Landscape Management Project-South,Community Markets for Conservation (COMACO),0.0,0.0,VCS4299,https://registry.verra.org/app/projectDetail/VCS/4299
Local/Unknown,Morocco,Sustainable Agriculture,PROJECT TOURBA - ADOPTION OF IMPROVED AGRICULTURAL PRACTICES TOWARDS CARBON FARMING IN MOROCCO,InnovX,0.0,0.0,VCS4300,https://registry.verra.org/app/projectDetail/VCS/4300
Local/Unknown,Botswana,REDD+,Kalahari Grasslands Project,Gazelle Ecosolutions,0.0,0.0,VCS4266,https://registry.verra.org/app/projectDetail/VCS/4266
Local/Unknown,Sierra Leone,Afforestation + Reforestation,Rewilding Maforki,Rewilding Maforki Limited,0.0,0.0,VCS4255,https://registry.verra.org/app/projectDetail/VCS/4255
Multiple (mixed),Cameroon,Afforestation + Reforestation,Regenerative Agroforestry Project Cameroon,Multiple Proponents,0.0,0.0,VCS4176,https://registry.verra.org/app/projectDetail/VCS/4176
United States,Malawi,Afforestation + Reforestation,Bamboo Afforestation in Malawi,C-Quest Capital SG Africa Holdings Private Limited,0.0,0.0,VCS4155,https://registry.verra.org/app/projectDetail/VCS/4155
